EL CAMBIO EN LA PRODUCCIÓN	THE CHANGE IN OUTPUT
La misma cadena, con y sin relevo.	The same supply chain, with and without robots.
Escuchar la comparación	Explain the comparison
Referencia: las mismas 74 personas, existencias y equipos iniciales, sin incorporar robots ni ampliar instalaciones. Tu estrategia puede incluir ambas cosas.	Reference: the same 74 people, initial stocks and equipment, without deploying robots or expanding facilities. Your strategy may include both.
Solo trabajo humano	Human work only
Cambio de producción	Change in output
Aún sin horas transcurridas	No elapsed hours yet
Producción de la cadena a lo largo del tiempo	Supply chain output over time
Cada punto suma las últimas 24 horas, o las transcurridas al inicio. Mide producción de la cadena, no rendimiento individual.	Each point sums the previous 24 hours, or elapsed hours at the start. This measures supply chain output, not individual productivity.
¿Qué ventaja tiene cada robot en este modelo?	What advantage does each robot have in this model?
Igual ritmo de trabajo: 0,5 lotes por hora activa. Una persona dispone de 8 horas al día; un robot, de 21, descontando recarga y servicio. Eso permite 4 frente a 10,5 lotes procesados al día por trabajador antes de aplicar límites de materiales y equipos. Una fábrica humana también puede organizar varios turnos.	Equal working pace: 0.5 batches per active hour. A person is available for 8 hours a day; a robot for 21, allowing for charging and maintenance. That allows 4 versus 10.5 batches processed per worker per day before material and equipment limits. Human factories can also run multiple shifts.
Producción frente al trabajo humano	Output compared with human work
Producción de esta industria a lo largo del tiempo	Output of this industry over time
Primeras 	First 
 horas	 hours
Últimas 24 horas	Last 24 hours
 frente a 	 versus 
