Robot Lab — La región que se construye	Robot Lab — A region that builds itself
Robots que construyen fábricas que construyen robots. Explora la reinversión, los materiales y la energía en una región industrial interactiva.	Robots building factories that build robots. Explore reinvestment, materials and energy in an interactive industrial region.
EXPERIMENTO 003 · CAMBIAR DE ESCALA	EXPERIMENT 003 · ZOOMING OUT
Construir lo que construye.	Build what builds the next.
Entender el ciclo ↗	Understand the loop ↗
Región industrial isométrica	Isometric industrial region
Seis zonas industriales, parcelas disponibles, robots y nuevas instalaciones en construcción	Six industrial zones, available plots, robots and new facilities under construction
Preparando la región…	Preparing the region…
24 robots. Seis instalaciones. Una nueva escala.	24 robots. Six facilities. A new scale.
Cada figura representa un robot	Each figure represents one robot
Cada figura representa hasta 	Each figure represents up to 
Ver toda la región	Fit the whole region
+10 ciclos →	+10 cycles →
Reiniciar región	Reset region
Capacidad de la región	Regional capacity
Flota total	Total fleet
24 iniciales + 0 nuevos	24 initial + 0 new
24 iniciales + 	24 initial + 
 nuevos	 new
Instalaciones abiertas	Open facilities
 obras en marcha	 construction projects
Robots terminados / ciclo	Robots finished / cycle
Comparación desde el mismo inicio	Comparison from the same starting point
Ciclo de reinversión	Reinvestment loop
MÁS ROBOTS	MORE ROBOTS
CAPACIDAD	CAPACITY
OBRAS	CONSTRUCTION
LA DECISIÓN QUE CAMBIA EL FUTURO	THE DECISION THAT CHANGES THE FUTURE
Producir o construir.	Produce or build.
Reserva una parte de los robots y del material refinado para ampliar la región. Invertir reduce lo que puedes producir ahora.	Reserve a share of robots and refined material to expand the region. Investing reduces what you can produce now.
Reserva para obras	Share for construction
 produciendo	 in production
 construyendo	 building
 disponibles	 available
Ampliar la cadena automáticamente	Expand the chain automatically
El porcentaje limita los robots en obras y reserva esa parte del nuevo material refinado. También puedes construir en una parcela concreta.	The percentage limits construction workers and reserves that share of newly refined material. You can also build on a specific plot.
La flota que acumulas	Your growing fleet
Tu región	Your region
Sin nuevas instalaciones	No new facilities
Evolución de la flota, comparada con una región que no construye instalaciones	Fleet growth compared with a region that builds no new facilities
Inicio · 24	Start · 24
Ciclo 0 / 120	Cycle 0 / 120
Mismo comienzo y misma reinversión de robots. La referencia conserva sus seis instalaciones.	Same start and robot reinvestment. The reference keeps its six facilities.
