Robot Lab — El relevo	Robot Lab — The compounding loop
Robot Lab — Dentro de la fábrica	Robot Lab — Inside the factory
Un mundo isométrico donde humanos y robots construyen una industria que crece. Explora su cadena de componentes, el día y la noche.	An interactive world where humans and robots build a growing industry. Explore the component chain, day and night.
Automatiza una fábrica de robots, sigue las piezas y descubre por qué más robots no siempre significan más producción.	Automate a robot factory, follow its parts and discover why more robots do not always mean more output.
EXPERIMENTO	EXPERIMENT
Una industria que crece.	An industry that grows.
Cada nuevo robot puede ayudar a construir el siguiente.	Each new robot can help build the next.
Entrar en la fábrica de robots ↗	Enter the robot factory ↗
Cómo funciona	How it works
Mundo industrial en 3D	3D industrial world
Distrito isométrico con nueve industrias, humanos, robots, comedor, viviendas y estaciones de recarga	Isometric district with nine industries, humans, robots, a dining hall, homes and charging stations
Construyendo el distrito…	Building the district…
Turno de trabajo	Working shift
Humanos en turno	Humans on shift
Robots en turno	Robots on shift
Robots incorporados	Robots deployed
de 74 tareas con relevo	of 74 tasks covered by robots
en recarga / servicio	charging / in service
de camino	on the way
Cerrar detalle	Close details
Ritmo esta hora	Rate this hour
Existencias que necesita	Required stock
DISTRITO INDUSTRIAL	INDUSTRIAL DISTRICT
Mapa: haz clic para explorar. Flechas para desplazarte. Intro para ver todo.	Map: click to explore. Arrow keys to move. Enter to fit the whole world.
Haz clic para explorar	Click to explore
Conexiones	Connections
Pantalla completa	Full screen
Acercar cámara	Zoom in
Alejar cámara	Zoom out
Ver todo el mundo	Fit the whole world
74 personas ponen en marcha la industria. Todavía no hay robots.	74 people start the industry. No robots yet.
Relevo en camino	Robot arriving
Recarga / servicio	Charging / service
Arrastra para explorar · rueda para acercar · ⇧ para girar	Drag to explore · scroll to zoom · ⇧ to rotate
Controles de reproducción	Playback controls
terminados en la última hora	finished in the last hour
Hora de la simulación	Simulation hour
robots fabricados	robots built
EXPLORAR EL DÍA	EXPLORE THE DAY
☀ Trabajo	☀ Work
☕ Comida	☕ Lunch
☾ Noche	☾ Night
Día siguiente →	Next day →
Tiempo ilustrativo · no son plazos industriales reales	Illustrative time · not real industrial timelines
Momentos de la transformación	Moments of transformation
IR A UN MOMENTO	JUMP TO A MOMENT
Estrategia industrial	Industrial strategy
DESTINAR LOS NUEVOS ROBOTS A	SEND NEW ROBOTS TO
Toda la cadena	The whole chain
Solo el montaje	Assembly only
Sin reinvertir	No reinvestment
Construir ampliaciones	Build expansions
ROBOTS FABRICADOS	ROBOTS BUILT
Tu estrategia	Your strategy
Solo montaje	Assembly only
Evolución de los robots fabricados	Robots built over time
Con refuerzos solo en montaje	With assembly-only reinvestment
Una simulación para entender un mecanismo, no una predicción.	A simulation to explain a mechanism, not a forecast.
Sin fechas ni cifras atribuidas a Tesla.	No timelines or figures attributed to Tesla.
EL EXPERIMENTO	THE EXPERIMENT
El relevo.<br>Después, la expansión.	First, the handover.<br>Then, expansion.
Empiezas con 74 personas, materiales y piezas disponibles, y ningún robot operativo. Mina → refinería → estructuras, motores, baterías y electrónica → kits → montaje → pruebas. Las existencias se consumen: si falta una familia de componentes, la cadena espera.	You start with 74 people, materials and parts in stock, and no operational robots. Mine → refinery → structures, motors, batteries and electronics → kits → assembly → testing. Stocks are consumed: if one component family is missing, the chain waits.
Los robots nuevos pueden reforzar todos esos procesos. Cubren tareas humanas y, cuando la maquinaria limita, ayudan a construir ampliaciones. Acelerar únicamente el montaje deja otros cuellos de botella.	New robots can reinforce all these processes. They cover human tasks and, when machinery limits output, help build expansions. Speeding up assembly alone leaves other bottlenecks in place.
Hasta el 70 %, según la capacidad útil	Up to 70%, depending on useful capacity
08–12 y 14–18; comida y descanso	08–12 and 14–18; lunch and rest
21 h disponible, 2 h recarga, 1 h servicio	21 h available, 2 h charging, 1 h service
2 horas simuladas de traslado	2 simulated hours of travel
2 robots, 12 horas de trabajo; hasta 3 obras	2 robots, 12 work hours; up to 3 projects
Energía, equipos e insumos especializados	Energy, equipment and specialized inputs
Horarios, cantidades, productividad y sustitución son supuestos didácticos, no datos de Tesla. Los 12 días comprimen un proceso sin representar su duración real. Las fábricas humanas también pueden trabajar con varios turnos; aquí se usa uno para hacer visible el descanso. La recarga y el servicio de los robots se escalonan; cada robot individual también para.	Schedules, quantities, productivity and task replacement are teaching assumptions, not Tesla data. The 12 days compress a process without representing its real duration. Human factories can also run multiple shifts; one is used here to make breaks visible. Robot charging and service are staggered; each individual robot stops too.
Las personas con relevo permanecen en el barrio. Esto representa tareas cubiertas, no una predicción laboral. Se supone que los robots dominan las tareas y reciben maquinaria y materiales especializados. No se modelan fallos aleatorios, rechazos, nuevos yacimientos, costes ni permisos. La mina, la maquinaria y el despliegue tienen límites: el crecimiento no es exponencial para siempre.	People whose tasks are covered remain in the neighborhood. This represents task coverage, not an employment forecast. Robots are assumed to master the tasks and receive specialized machinery and materials. Random failures, rejected units, new deposits, costs and permits are not modeled. Mining, machinery and deployment have limits: growth is not exponential forever.
Reinversión	Reinvestment
Turno humano	Human shift
Turno de cada robot	Each robot's schedule
Incorporación	Deployment
Suministros externos	External supplies
No se ha podido activar WebGL para este mundo 3D.	WebGL could not be enabled for this 3D world.
Pausa para comer	Lunch break
Descanso nocturno	Night rest
Camino al trabajo	Heading to work
Fin del turno humano	Human shift ended
Barrio residencial	Residential neighborhood
Recarga y servicio	Charging and service
Robots nuevos	New robots
Energía externa	External energy
Comedor	Dining hall
Abre una ampliación en 	An expansion opens at 
. Más equipos, más capacidad.	. More equipment, more capacity.
Los robots construyen una ampliación en 	Robots are building an expansion at 
Los humanos duermen. 	People are sleeping. 
 robots disponibles; otros recargan o reciben mantenimiento.	 robots available; others are charging or being serviced.
El barrio duerme. La cadena espera el siguiente turno.	The neighborhood is asleep. The chain awaits the next shift.
Hora de comer. Las personas hacen una pausa; los robots disponibles siguen en sus puestos.	Lunch break. People rest; available robots remain at their stations.
Todas las tareas humanas del escenario ya tienen relevo. El límite pasa a equipos y suministros.	Robots now cover every human task in this scenario. Equipment and supplies become the limit.
Llega el relevo a 	A robot arrives at 
. Los humanos liberados regresan al barrio.	. People whose tasks are covered return to the neighborhood.
Los nuevos robots refuerzan la cadena. Cada kit necesita las cuatro familias de componentes.	New robots reinforce the chain. Every kit needs all four component families.
Las primeras piezas avanzan hacia montaje y pruebas.	The first parts move toward assembly and testing.
Pausar simulación	Pause simulation
Reproducir simulación	Play simulation
Las 74 personas siguen en el mundo. Tras recibir relevo dejan su tarea industrial y vuelven al barrio. Por la noche descansan dentro de las casas.	All 74 people remain in the world. When a robot covers their task, they return to the neighborhood. At night they rest inside their homes.
De 12:00 a 14:00 las personas paran para comer y desplazarse. En este escenario hay un único turno de trabajo humano de ocho horas.	From 12:00 to 14:00 people stop to eat and travel. This scenario uses a single eight-hour human shift.
Cada robot reserva dos horas de recarga y una de mantenimiento por día. Los horarios se escalonan para que otros robots puedan mantener la actividad.	Each robot reserves two hours for charging and one for maintenance daily. Schedules are staggered so other robots can keep working.
Después de las pruebas, hasta el 70 % de los robots vuelve a la red si hace falta. Tardan dos horas simuladas en llegar a su destino. El resto sale hacia otros usos.	After testing, up to 70% of robots return to the network when needed. Travel takes two simulated hours. The rest go to other uses.
La red recibe electricidad e insumos especializados del exterior. Los paneles representan el suministro, no un cálculo de autosuficiencia energética.	The network receives electricity and specialized inputs from outside. The panels represent supply, not an energy self-sufficiency calculation.
 / última hora	 / last hour
 · obra al 	 · construction at 
 personas y 	 people and 
 robots disponibles ahora.	 robots available now.
Extracción limitada por equipos	Extraction limited by equipment
Los insumos especializados y la energía vienen del exterior.	Specialized inputs and energy come from outside.
Lotes en la red · pilas del mapa orientativas	Batches in the network · map stacks are illustrative
 lotes por hora	 batches per hour
